OrderID,CustomerID,OrderDate,ShipDate,DeliveryStatus,City,Amount,Category
ORD00062,CUST9863,2024-04-25,2024-05-03,Delivered,Mumbai,3391.54,Electronics
ORD00063,CUST9456,2024-04-09,2024-04-11,Delayed,Delhi,3928.7,Fashion
ORD00064,CUST9411,2024-04-08,2024-04-13,Delivered,Mumbai,4267.14,Fashion
ORD00065,CUST5517,2024-04-05,2024-04-14,Delivered,Delhi,2921.01,Grocery
ORD00066,CUST8087,2024-05-01,2024-05-09,Delivered,Delhi,2010.05,Grocery
ORD00067,CUST8958,2024-04-10,2024-04-15,Delayed,Bengaluru,3355.82,Electronics
ORD00068,CUST2788,2024-05-01,2024-05-06,Delivered,Delhi,867.08,Grocery
ORD00069,CUST9683,2024-04-18,2024-04-23,Delayed,Chennai,1236.12,Fashion
ORD00070,CUST4717,2024-04-12,2024-04-13,Delivered,Chennai,1266.29,Fashion
ORD00071,CUST7458,2024-04-17,2024-04-24,Delivered,Bengaluru,2418.38,Electronics
ORD00072,CUST1457,2024-04-08,2024-04-15,Delayed,Bengaluru,3416.76,Fashion
ORD00073,CUST3507,2024-04-19,2024-04-20,Delivered,Chennai,2221.14,Fashion
ORD00074,CUST7979,2024-04-15,2024-04-18,Delivered,Hyderabad,4556.65,Grocery
ORD00075,CUST2198,2024-04-26,2024-05-01,Delivered,Bengaluru,2445.4,Grocery
ORD00076,CUST9664,2024-04-19,2024-04-25,Delivered,Chennai,2433.26,Fashion
ORD00077,CUST8713,2024-04-26,2024-05-01,Delayed,Hyderabad,2007.71,Electronics
ORD00078,CUST4437,2024-04-08,2024-04-14,Delivered,Hyderabad,783.99,Grocery
ORD00079,CUST9336,2024-04-12,2024-04-18,Delivered,Bengaluru,2430.98,Fashion
ORD00080,CUST8968,2024-04-01,2024-04-10,Delayed,Chennai,4777.15,Grocery
ORD00081,CUST7027,2024-04-30,2024-05-09,Delayed,Chennai,4717.25,Fashion
ORD00082,CUST3423,2024-04-29,2024-05-07,Delayed,Delhi,2455.99,Electronics
ORD00083,CUST5942,2024-04-16,2024-04-18,Delivered,Bengaluru,2273.04,Electronics
ORD00084,CUST6370,2024-04-04,2024-04-08,Delivered,Hyderabad,4392.61,Electronics
ORD00085,CUST1427,2024-04-09,2024-04-15,Delivered,Delhi,1176.14,Electronics
ORD00086,CUST1427,2024-04-14,2024-04-20,Cancelled,Delhi,4770.32,Electronics
ORD00087,CUST3025,2024-04-09,2024-04-18,Delivered,Chennai,4660.97,Fashion
ORD00088,CUST6760,2024-04-22,2024-05-01,Delivered,Hyderabad,3052.54,Electronics
ORD00089,CUST5271,2024-04-20,2024-04-28,Delayed,Bengaluru,3518.55,Fashion
ORD00090,CUST1631,2024-04-13,2024-04-18,Delivered,Hyderabad,3158.97,Electronics
ORD00091,CUST1914,2024-04-21,2024-05-01,Delivered,Mumbai,4945.63,Grocery
ORD00092,CUST6110,2024-04-21,2024-04-27,Delayed,Chennai,3705.02,Grocery
ORD00093,CUST2702,2024-04-10,2024-04-20,Delivered,Chennai,1317.06,Electronics
ORD00094,CUST6054,2024-04-02,2024-04-03,Delivered,Delhi,3679.43,Fashion
ORD00095,CUST5624,2024-04-07,2024-04-15,Delayed,Hyderabad,4087.89,Grocery
ORD00096,CUST1153,2024-04-18,2024-04-28,Delivered,Delhi,3812.81,Grocery
ORD00097,CUST8515,2024-04-14,2024-04-18,Delayed,Mumbai,4350.51,Grocery
ORD00098,CUST1633,2024-04-15,2024-04-18,Delivered,Bengaluru,1625.23,Fashion
ORD00099,CUST1643,2024-04-08,2024-04-17,Delayed,Mumbai,4351.26,Grocery
ORD00100,CUST4997,2024-04-11,2024-04-14,Delivered,Hyderabad,1997.32,Grocery
ORD00101,CUST5057,2024-04-21,2024-04-28,Delayed,Chennai,636.68,Electronics
ORD00102,CUST8213,2024-04-18,2024-04-25,Delivered,Chennai,905.28,Fashion
ORD00103,CUST3925,2024-04-13,2024-04-19,Delivered,Mumbai,4155.52,Grocery
ORD00104,CUST4134,2024-04-24,2024-04-30,Delivered,Chennai,4152.95,Electronics
ORD00105,CUST8605,2024-04-27,2024-05-01,Delivered,Hyderabad,2555.24,Electronics
ORD00106,CUST8774,2024-04-10,2024-04-13,Delayed,Mumbai,1788.4,Grocery
ORD00107,CUST3779,2024-04-22,2024-04-29,Delayed,Delhi,3895.31,Fashion
ORD00108,CUST9570,2024-04-09,2024-04-14,Delivered,Mumbai,3144.74,Grocery
ORD00109,CUST7838,2024-04-15,2024-04-18,Delayed,Mumbai,1808.97,Grocery
ORD00110,CUST9659,2024-04-12,2024-04-14,Delayed,Delhi,3050.83,Fashion
ORD00111,CUST1247,2024-04-21,2024-04-30,Cancelled,Bengaluru,4558.59,Electronics
ORD00112,CUST3428,2024-04-21,2024-04-22,Delayed,Delhi,4253.02,Fashion
ORD00113,CUST6862,2024-04-05,2024-04-07,Delayed,Delhi,4423.25,Electronics
ORD00114,CUST9329,2024-04-18,2024-04-19,Delivered,Delhi,4787.17,Electronics
ORD00115,CUST9667,2024-04-23,2024-04-24,Delivered,Hyderabad,1234.21,Fashion
ORD00116,CUST3667,2024-04-02,2024-04-06,Delivered,Bengaluru,2108.74,Fashion
ORD00117,CUST5436,2024-05-01,2024-05-02,Delivered,Hyderabad,3260.41,Fashion
ORD00118,CUST6430,2024-04-11,2024-04-12,Delayed,Delhi,551.13,Electronics
ORD00119,CUST5518,2024-04-04,2024-04-08,Delayed,Mumbai,1182.52,Electronics
ORD00120,CUST1081,2024-04-15,2024-04-18,Delivered,Hyderabad,2576.14,Electronics
ORD00121,CUST4954,2024-04-20,2024-04-22,Delivered,Chennai,3188.3,Electronics
ORD00122,CUST5256,2024-04-10,2024-04-19,Delivered,Bengaluru,3317.02,Electronics
ORD00123,CUST4896,2024-04-26,2024-05-04,Delivered,Delhi,1536.67,Electronics
ORD00124,CUST5714,2024-04-24,2024-05-04,Delivered,Hyderabad,2867.04,Fashion
ORD00125,CUST7077,2024-04-07,2024-04-12,Cancelled,Chennai,4340.6,Grocery
ORD00126,CUST5788,2024-04-26,2024-04-28,Delivered,Mumbai,1885.14,Electronics
ORD00127,CUST2253,2024-04-26,2024-05-01,Delivered,Delhi,4984.23,Fashion
ORD00128,CUST9657,2024-04-20,2024-04-25,Cancelled,Hyderabad,2893.11,Electronics
ORD00129,CUST1813,2024-04-17,2024-04-21,Cancelled,Hyderabad,3425.52,Fashion
ORD00130,CUST2812,2024-04-02,2024-04-05,Delayed,Chennai,1506.04,Electronics
ORD00131,CUST8951,2024-04-03,2024-04-09,Delivered,Chennai,3063.26,Fashion
ORD00132,CUST3294,2024-04-21,2024-04-26,Delivered,Chennai,869.61,Grocery
ORD00133,CUST1226,2024-04-19,2024-04-23,Delivered,Chennai,2273.57,Fashion
ORD00134,CUST2189,2024-04-20,2024-04-27,Delivered,Mumbai,3243.43,Fashion
ORD00135,CUST7022,2024-04-08,2024-04-14,Delivered,Bengaluru,538.03,Electronics
ORD00136,CUST9989,2024-04-16,2024-04-25,Delayed,Delhi,1782.54,Grocery
ORD00137,CUST6859,2024-04-01,2024-04-09,Delivered,Mumbai,2956.11,Fashion
ORD00138,CUST9457,2024-04-17,2024-04-24,Delivered,Delhi,3399.42,Grocery
ORD00139,CUST8891,2024-04-27,2024-05-05,Cancelled,Delhi,2750.98,Grocery
ORD00140,CUST3285,2024-04-22,2024-04-26,Delayed,Delhi,3034.06,Electronics
ORD00141,CUST9341,2024-04-22,2024-04-30,Delivered,Bengaluru,1625.82,Grocery
ORD00142,CUST1328,2024-04-30,2024-05-05,Delayed,Delhi,3282.51,Fashion
ORD00143,CUST8533,2024-04-27,2024-04-28,Delivered,Chennai,2397.49,Grocery
ORD00144,CUST7874,2024-04-01,2024-04-08,Delivered,Bengaluru,1046.72,Grocery
ORD00145,CUST9645,2024-04-01,2024-04-10,Delayed,Bengaluru,615.35,Electronics
ORD00146,CUST3342,2024-04-12,2024-04-15,Delivered,Hyderabad,573.32,Fashion
ORD00147,CUST9695,2024-04-19,2024-04-25,Cancelled,Chennai,1190.5,Electronics
ORD00148,CUST9978,2024-04-13,2024-04-20,Delivered,Delhi,2019.95,Grocery
ORD00149,CUST7156,2024-04-29,2024-05-07,Delivered,Mumbai,3195.78,Electronics
ORD00150,CUST7042,2024-05-01,2024-05-11,Delayed,Mumbai,978.92,Fashion
ORD00151,CUST3854,2024-04-11,2024-04-15,Delivered,Delhi,3805.32,Grocery
ORD00152,CUST3209,2024-04-27,2024-05-06,Delivered,Mumbai,586.64,Fashion
ORD00153,CUST3034,2024-04-13,2024-04-22,Cancelled,Hyderabad,3563.55,Fashion
ORD00154,CUST6425,2024-04-29,2024-05-09,Delivered,Delhi,3978.22,Electronics
ORD00155,CUST5226,2024-04-10,2024-04-11,Delivered,Chennai,3583.25,Fashion
ORD00156,CUST2965,2024-04-24,2024-05-02,Delayed,Chennai,2350.32,Electronics
ORD00157,CUST5095,2024-05-01,2024-05-02,Delivered,Mumbai,4062.55,Electronics
ORD00158,CUST3915,2024-04-25,2024-04-29,Delivered,Bengaluru,1521.5,Fashion
ORD00159,CUST7833,2024-04-03,2024-04-05,Delivered,Bengaluru,4367.62,Fashion
ORD00160,CUST8111,2024-04-19,2024-04-24,Cancelled,Hyderabad,1646.14,Grocery
ORD00161,CUST6752,2024-04-06,2024-04-11,Cancelled,Chennai,3417.4,Electronics
ORD00162,CUST9446,2024-04-29,2024-05-01,Delivered,Hyderabad,526.47,Electronics
ORD00163,CUST4743,2024-04-17,2024-04-21,Delivered,Bengaluru,1333.39,Electronics
ORD00164,CUST7276,2024-04-19,2024-04-28,Cancelled,Delhi,3714.08,Fashion
ORD00165,CUST5311,2024-04-08,2024-04-17,Delivered,Hyderabad,1253.85,Electronics
ORD00166,CUST1783,2024-04-20,2024-04-23,Delivered,Delhi,2496.47,Grocery
ORD00167,CUST6878,2024-04-19,2024-04-27,Delivered,Bengaluru,4923.32,Grocery
ORD00168,CUST5842,2024-04-18,2024-04-24,Delivered,Delhi,2192.97,Fashion
ORD00169,CUST7904,2024-04-23,2024-04-29,Delayed,Delhi,3232.73,Electronics
ORD00170,CUST1972,2024-04-25,2024-04-26,Delivered,Mumbai,2301.84,Fashion
ORD00171,CUST1539,2024-04-19,2024-04-22,Delayed,Mumbai,1900.75,Electronics
ORD00172,CUST7733,2024-04-03,2024-04-13,Delivered,Hyderabad,3581.29,Fashion
ORD00173,CUST6787,2024-04-29,2024-04-30,Delivered,Delhi,1343.75,Fashion
ORD00174,CUST8846,2024-04-14,2024-04-24,Delivered,Bengaluru,840.84,Electronics
ORD00175,CUST4067,2024-04-26,2024-05-01,Delivered,Delhi,1419.68,Grocery
ORD00176,CUST7142,2024-04-06,2024-04-14,Cancelled,Mumbai,4563.93,Electronics
ORD00177,CUST7375,2024-04-22,2024-04-25,Delivered,Chennai,1782.63,Grocery
ORD00178,CUST7120,2024-04-01,2024-04-03,Delivered,Mumbai,4314.77,Grocery
ORD00179,CUST5439,2024-04-12,2024-04-22,Delivered,Chennai,4251.36,Fashion
ORD00180,CUST7785,2024-04-08,2024-04-14,Delivered,Mumbai,3671.39,Grocery
ORD00181,CUST7507,2024-04-14,2024-04-19,Delivered,Mumbai,1409.74,Fashion
ORD00182,CUST6668,2024-04-20,2024-04-21,Cancelled,Delhi,1124.5,Electronics
ORD00183,CUST6183,2024-04-09,2024-04-17,Delivered,Mumbai,2336.49,Grocery
ORD00184,CUST1202,2024-04-17,2024-04-25,Delivered,Chennai,3113.01,Fashion
ORD00185,CUST6139,2024-04-28,2024-05-04,Delivered,Delhi,4178.19,Electronics
ORD00186,CUST7690,2024-04-09,2024-04-15,Delivered,Hyderabad,1573.17,Grocery
ORD00187,CUST2657,2024-04-27,2024-04-29,Delayed,Chennai,4724.23,Grocery
ORD00188,CUST9807,2024-04-13,2024-04-23,Delivered,Bengaluru,759.06,Grocery
ORD00189,CUST1873,2024-04-20,2024-04-21,Delivered,Delhi,4317.64,Electronics
ORD00190,CUST7574,2024-04-07,2024-04-17,Delivered,Mumbai,686.53,Electronics
ORD00191,CUST5874,2024-04-20,2024-04-28,Delayed,Bengaluru,916.61,Grocery
ORD00192,CUST1541,2024-04-04,2024-04-11,Delayed,Delhi,2038.69,Fashion
ORD00193,CUST6826,2024-04-07,2024-04-14,Cancelled,Chennai,2900.75,Fashion
ORD00194,CUST5050,2024-04-16,2024-04-25,Delivered,Mumbai,678.73,Electronics
ORD00195,CUST9008,2024-04-12,2024-04-14,Delayed,Mumbai,4663.52,Electronics
ORD00196,CUST8511,2024-04-13,2024-04-21,Delivered,Chennai,4462.15,Grocery
ORD00197,CUST4213,2024-04-03,2024-04-08,Delivered,Bengaluru,4680.83,Electronics
ORD00198,CUST2168,2024-04-29,2024-04-30,Delayed,Bengaluru,3166.89,Electronics
ORD00199,CUST4296,2024-04-05,2024-04-12,Delivered,Chennai,3506.72,Electronics
ORD00200,CUST9072,2024-04-26,2024-04-27,Delivered,Mumbai,3565.91,Fashion
ORD00201,CUST8139,2024-04-25,2024-05-02,Delivered,Chennai,2416.04,Grocery
ORD00202,CUST8173,2024-04-16,2024-04-20,Delivered,Hyderabad,3648.75,Grocery
ORD00203,CUST7533,2024-04-09,2024-04-10,Delivered,Chennai,3987.61,Grocery
ORD00204,CUST7318,2024-04-07,2024-04-11,Delivered,Chennai,3962.02,Grocery
ORD00205,CUST1315,2024-04-16,2024-04-18,Delivered,Delhi,4401.0,Electronics
ORD00206,CUST2563,2024-04-29,2024-05-08,Cancelled,Chennai,1258.19,Grocery
ORD00207,CUST6845,2024-04-16,2024-04-23,Delivered,Delhi,4445.63,Grocery
ORD00208,CUST6442,2024-04-14,2024-04-23,Delivered,Mumbai,1223.24,Grocery
ORD00209,CUST3302,2024-04-14,2024-04-16,Delayed,Chennai,3488.21,Electronics
ORD00210,CUST6345,2024-04-14,2024-04-15,Delivered,Delhi,897.59,Grocery
ORD00211,CUST1733,2024-04-15,2024-04-20,Delivered,Delhi,4233.1,Grocery
ORD00212,CUST6898,2024-04-06,2024-04-11,Delayed,Bengaluru,4776.63,Fashion
ORD00213,CUST3646,2024-04-20,2024-04-24,Delayed,Bengaluru,3622.01,Electronics
ORD00214,CUST9573,2024-04-30,2024-05-10,Delayed,Mumbai,1924.0,Fashion
ORD00215,CUST8006,2024-04-20,2024-04-27,Delayed,Hyderabad,2209.65,Grocery
ORD00216,CUST1036,2024-04-29,2024-05-03,Delivered,Chennai,4559.61,Electronics
ORD00217,CUST1096,2024-04-13,2024-04-15,Cancelled,Mumbai,1423.77,Electronics
ORD00218,CUST2533,2024-04-19,2024-04-26,Delivered,Hyderabad,2489.94,Grocery
ORD00219,CUST5886,2024-04-18,2024-04-26,Delivered,Hyderabad,1900.41,Electronics
ORD00220,CUST9623,2024-04-14,2024-04-16,Delivered,Bengaluru,4177.47,Electronics
ORD00221,CUST1567,2024-04-20,2024-04-23,Delayed,Delhi,3609.59,Electronics
ORD00222,CUST8961,2024-04-06,2024-04-09,Delivered,Hyderabad,3201.77,Grocery
ORD00223,CUST3519,2024-04-23,2024-05-02,Delivered,Mumbai,2013.65,Fashion
ORD00224,CUST6026,2024-04-12,2024-04-21,Delayed,Hyderabad,3478.03,Fashion
ORD00225,CUST2605,2024-04-16,2024-04-26,Delivered,Mumbai,2819.0,Electronics
ORD00226,CUST5396,2024-04-13,2024-04-14,Delivered,Delhi,2793.75,Grocery
ORD00227,CUST1134,2024-04-27,2024-05-01,Delivered,Mumbai,4620.01,Grocery
ORD00228,CUST6062,2024-04-27,2024-05-02,Delayed,Mumbai,3287.02,Grocery
ORD00229,CUST7972,2024-04-08,2024-04-13,Delivered,Hyderabad,1778.26,Grocery
ORD00230,CUST1330,2024-04-14,2024-04-19,Delivered,Hyderabad,2342.96,Fashion
ORD00231,CUST9081,2024-04-11,2024-04-12,Delivered,Bengaluru,4232.37,Fashion
ORD00232,CUST3536,2024-04-28,2024-05-03,Delayed,Mumbai,2179.21,Fashion
ORD00233,CUST3220,2024-04-28,2024-05-06,Delivered,Delhi,912.59,Fashion
ORD00234,CUST8413,2024-04-25,2024-05-03,Delivered,Hyderabad,4944.71,Fashion
ORD00235,CUST4301,2024-04-10,2024-04-14,Delivered,Chennai,4784.62,Electronics
ORD00236,CUST6163,2024-04-06,2024-04-11,Delivered,Mumbai,1917.32,Grocery
ORD00237,CUST2492,2024-04-14,2024-04-16,Delivered,Delhi,3037.62,Electronics
ORD00238,CUST4913,2024-04-21,2024-04-24,Delivered,Hyderabad,4808.85,Grocery
ORD00239,CUST8815,2024-04-10,2024-04-18,Delivered,Bengaluru,944.34,Fashion
ORD00240,CUST1019,2024-05-01,2024-05-02,Delivered,Delhi,3784.24,Fashion
ORD00241,CUST1033,2024-04-12,2024-04-20,Delivered,Chennai,2604.78,Fashion
ORD00242,CUST7027,2024-04-17,2024-04-24,Delivered,Bengaluru,1673.32,Electronics
ORD00243,CUST1309,2024-04-18,2024-04-23,Delivered,Bengaluru,1449.53,Grocery
ORD00244,CUST1235,2024-04-23,2024-04-30,Delivered,Hyderabad,1083.21,Grocery
ORD00245,CUST8014,2024-04-26,2024-05-01,Delayed,Delhi,1281.53,Electronics
ORD00246,CUST5627,2024-04-06,2024-04-09,Delayed,Mumbai,2382.56,Grocery
ORD00247,CUST8956,2024-04-04,2024-04-13,Delivered,Chennai,4716.43,Grocery
ORD00248,CUST3360,2024-04-23,2024-04-30,Delayed,Bengaluru,3972.59,Electronics
ORD00249,CUST1397,2024-04-03,2024-04-06,Cancelled,Chennai,2880.23,Fashion
ORD00250,CUST3208,2024-04-01,2024-04-05,Delivered,Bengaluru,1344.22,Grocery
ORD00251,CUST8065,2024-04-14,2024-04-21,Delivered,Bengaluru,1089.15,Electronics
ORD00252,CUST6853,2024-04-16,2024-04-21,Cancelled,Bengaluru,1760.99,Grocery
ORD00253,CUST4879,2024-04-29,2024-05-01,Delivered,Bengaluru,1059.02,Electronics
ORD00254,CUST8829,2024-04-19,2024-04-27,Cancelled,Hyderabad,4693.42,Electronics
ORD00255,CUST9349,2024-04-02,2024-04-10,Delivered,Bengaluru,3553.95,Grocery
ORD00256,CUST2910,2024-04-23,2024-04-26,Delayed,Chennai,3118.66,Electronics
ORD00257,CUST4036,2024-04-24,2024-04-26,Delayed,Hyderabad,3352.92,Grocery
ORD00258,CUST2530,2024-04-21,2024-04-30,Delivered,Hyderabad,1559.66,Electronics
ORD00259,CUST4073,2024-04-08,2024-04-14,Delayed,Chennai,4089.26,Fashion
ORD00260,CUST3623,2024-04-23,2024-05-01,Delayed,Delhi,2537.45,Electronics
ORD00261,CUST3310,2024-04-01,2024-04-10,Delivered,Mumbai,2105.3,Fashion
ORD00262,CUST7190,2024-04-05,2024-04-14,Delivered,Bengaluru,4530.0,Fashion
ORD00263,CUST4159,2024-04-18,2024-04-19,Delivered,Chennai,3185.64,Fashion
ORD00264,CUST5404,2024-04-01,2024-04-10,Delivered,Mumbai,3031.75,Electronics
ORD00265,CUST1872,2024-04-19,2024-04-27,Delivered,Delhi,1765.64,Electronics
ORD00266,CUST2274,2024-04-18,2024-04-21,Delivered,Hyderabad,4175.57,Fashion
ORD00267,CUST5046,2024-04-21,2024-04-22,Delivered,Bengaluru,4298.98,Grocery
ORD00268,CUST8236,2024-04-09,2024-04-10,Cancelled,Bengaluru,1612.1,Electronics
ORD00269,CUST5500,2024-04-26,2024-04-29,Delayed,Delhi,4408.6,Fashion
ORD00270,CUST7169,2024-04-13,2024-04-15,Cancelled,Mumbai,3556.39,Electronics
ORD00271,CUST8561,2024-04-01,2024-04-10,Delivered,Chennai,4546.52,Grocery
ORD00272,CUST3421,2024-04-05,2024-04-15,Delayed,Chennai,2989.79,Fashion
ORD00273,CUST7512,2024-04-19,2024-04-27,Delivered,Chennai,3939.02,Fashion
ORD00274,CUST7816,2024-04-22,2024-04-24,Delayed,Hyderabad,1393.64,Electronics
ORD00275,CUST1400,2024-04-23,2024-04-30,Delivered,Chennai,2437.66,Electronics
ORD00276,CUST5833,2024-04-22,2024-04-30,Delivered,Bengaluru,2629.58,Fashion
ORD00277,CUST2445,2024-04-05,2024-04-10,Delayed,Delhi,4707.08,Grocery
ORD00278,CUST5225,2024-04-03,2024-04-06,Delivered,Delhi,4543.54,Fashion
ORD00279,CUST2350,2024-04-28,2024-05-05,Delayed,Chennai,2893.98,Grocery
ORD00280,CUST4022,2024-04-04,2024-04-08,Cancelled,Delhi,2118.88,Fashion
ORD00281,CUST9488,2024-04-14,2024-04-24,Delivered,Mumbai,1212.36,Electronics
ORD00282,CUST5950,2024-04-23,2024-04-26,Delivered,Hyderabad,1636.11,Fashion
ORD00283,CUST6852,2024-04-11,2024-04-15,Delayed,Chennai,3233.44,Fashion
ORD00284,CUST7291,2024-04-24,2024-05-02,Delivered,Hyderabad,1249.21,Electronics
ORD00285,CUST1152,2024-04-26,2024-04-28,Cancelled,Mumbai,2869.59,Electronics
ORD00286,CUST2121,2024-04-18,2024-04-26,Delivered,Mumbai,3101.42,Fashion
ORD00287,CUST1452,2024-05-01,2024-05-07,Delayed,Mumbai,869.44,Fashion
ORD00288,CUST8571,2024-04-10,2024-04-13,Delivered,Chennai,2333.09,Fashion
ORD00289,CUST8804,2024-04-23,2024-04-30,Delivered,Delhi,1877.87,Fashion
ORD00290,CUST3990,2024-04-17,2024-04-20,Delivered,Bengaluru,3494.25,Grocery
ORD00291,CUST9141,2024-04-17,2024-04-25,Delayed,Delhi,2814.77,Fashion
ORD00292,CUST2460,2024-04-24,2024-04-26,Delivered,Hyderabad,1395.21,Electronics
ORD00293,CUST9722,2024-04-16,2024-04-18,Delivered,Mumbai,4752.82,Grocery
ORD00294,CUST6510,2024-04-20,2024-04-26,Delivered,Mumbai,2148.94,Fashion
ORD00295,CUST6326,2024-04-13,2024-04-20,Delivered,Chennai,2777.28,Electronics
ORD00296,CUST6369,2024-04-04,2024-04-13,Delivered,Delhi,765.98,Fashion
